candidate,status,score_competition,score_checker,score_delta,base_score,guardrail_penalty,reconstruction_penalty,headroom_percent,strict_failures,zero_unk,score_agreement,leaderboard_failure,throughput_chars_per_second,elapsed_seconds,vocab_size,sha256,admissible,reason
b4-reference,reference,1.9396669738781722,1.9396669738781722,0,1.9396669738781722,0,0,1.7871994392793225,0,True,True,,704756.9162921824,4.1860036159998799,10000,b2f9a461ce1b0e8bff07c00d982614f49d555464b8fb1efa46e66b08b67013e4,True,référence b4
fr1125-yo5,measured,1.9400711253000895,1.9400711253000895,0,1.9400711253000895,0,0,2.3080247314229889,0,True,True,,1375747.6334396701,2.1443722149999758,10000,9aa2cdd3be1d3a33cfc0b3bac828a875256afb7783a3507ec5585a63784da41b,False,score non strictement inférieur au b4
fr125-yo5,measured,1.9424793918526102,1.9424793918526102,0,1.9424793918526102,0,0,3.2725861945018795,0,True,True,,1362804.6694391228,2.1647379599999113,10000,12485d6cbd22ca8218d056d038c8cb3e13cde49a80af6a682748052958d7fe96,False,score non strictement inférieur au b4
fr1125-yo5-am5,measured,1.9366743416476575,1.9366743416476575,0,1.9366743416476575,0,0,1.1584630815012726,0,True,True,,1371476.4069796854,2.1510504919999676,10000,da70428c2c6e1de9078bfe8392b47a3af5dc63ae5d500108aa54d11617c54d29,False,marge EN/FR inférieure au b4
fr125-yo5-am5,measured,1.9384090338032391,1.9384090338032391,0,1.9384090338032391,0,0,2.0515536681751971,0,True,True,,1411646.2211678929,2.0898401849999573,10000,6f387416333fdfff5d45135313b00d5ef5ffd580b4c15ad851cd01f13b81d0e5,True,
b4-minfreq3,measured,1.9396669738781722,1.9396669738781722,0,1.9396669738781722,0,0,1.7871994392793225,0,True,True,,1396942.9996731265,2.1118363460000182,10000,b2f9a461ce1b0e8bff07c00d982614f49d555464b8fb1efa46e66b08b67013e4,False,score non strictement inférieur au b4
b4-minfreq7,measured,1.9396669738781722,1.9396669738781722,0,1.9396669738781722,0,0,1.7871994392793225,0,True,True,,1401661.4499851582,2.1047272149999117,10000,b2f9a461ce1b0e8bff07c00d982614f49d555464b8fb1efa46e66b08b67013e4,False,score non strictement inférieur au b4
